"Product Id","Variant Id","Handle","Title","Body (Html)","Vendor","Type","Tags","Published","Option Fulfill Value","Custom Option","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Sku","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Google Shopping / Mpn","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","Seo Title","Seo Description","Google Shopping / Adwords Grouping","Google Shopping / Adwords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost Per Item","Available On Listing Pages","Available On Sitemap Files","Template","Shipping Profile Name","Variant Tag","Facebook Pixel Id","Facebook Access Token","Product Stock Status","Shipping Fee","Base Cost Variant"
"'1000000495343755'","'1000011237570172'","crs-sth-ha-my-141203",,,,,,,,,,"11 Men",,"White",,,"CRS-STH-HA-MY-141203",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011237567763",,,,0,0
"'1000000495343755'","'1000011237570173'","crs-sth-ha-my-141203",,,,,,,,,,"11.5 Men",,"White",,,"CRS-STH-HA-MY-141203",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011237567764",,,,0,0
"'1000000495343755'","'1000011237570174'","crs-sth-ha-my-141203",,,,,,,,,,"12 Men",,"White",,,"CRS-STH-HA-MY-141203",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011237567765",,,,0,0
"'1000000495343755'","'1000011237570175'","crs-sth-ha-my-141203",,,,,,,,,,"13 Men",,"White",,,"CRS-STH-HA-MY-141203",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011237567766",,,,0,0
"'1000000495343755'","'1000011237570176'","crs-sth-ha-my-141203",,,,,,,,,,"9 Kid",,"White",,,"CRS-STH-HA-MY-141203",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011237567767",,,,0,0
"'1000000495343755'","'1000011237570177'","crs-sth-ha-my-141203",,,,,,,,,,"10 Kid",,"White",,,"CRS-STH-HA-MY-141203",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011237567768",,,,0,0
"'1000000495343755'","'1000011237570178'","crs-sth-ha-my-141203",,,,,,,,,,"11 Kid",,"White",,,"CRS-STH-HA-MY-141203",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011237567769",,,,0,0
"'1000000495343755'","'1000011237570179'","crs-sth-ha-my-141203",,,,,,,,,,"12 Kid",,"White",,,"CRS-STH-HA-MY-141203",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011237567770",,,,0,0
"'1000000495343755'","'1000011237570180'","crs-sth-ha-my-141203",,,,,,,,,,"13 Kid",,"White",,,"CRS-STH-HA-MY-141203",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011237567771",,,,0,0
"'1000000495343755'","'1000011237570181'","crs-sth-ha-my-141203",,,,,,,,,,"1 Youth",,"White",,,"CRS-STH-HA-MY-141203",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011237567772",,,,0,0
"'1000000495398786'","'1000011238919138'","crs-bzm-ha-my-151201","PREMIUM BZM CRS HA 151201","<p>There are two different ways to wear - you can wear it as sandals or flip flop. Constructed with lightweight and soft material.</p>
<ul>
<li>The upper is made of EVA</li>
<li>Feature: Anti-Slippery, Hard-Wearing, Quick-Drying</li>
<li>Perfect for indoor or outdoor use.</li>
<li>Custom area is the vamp and the tape.</li>
<li>This product is made on demand. </li>
<li>Multiple shipping options available, and cost varies on time efficiency<img src=""https://img.thesitebase.net/files/10285049/2022/08/19/1660898614aa43b54437.jpeg"" alt=""""/></li>
<li><strong>Size Kids</strong><strong><img src=""https://img.shopbase.com/files/10285049/2022/08/23/16612422771af360b081.jpeg"" alt=""""/></strong></li>
</ul>",,,"bzm,track-id-1000000495398780","TRUE",,"[]","Size","4 Men/5 Women","Color","White",,,"CRS-BZM-HA-MY-151201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1702630767598.jpg",1,,,,,,,,,,,,,,,,,,,"lb",,0,"TRUE","TRUE","Default",,"track-id-1000011238918904",,,,,
"'1000000495398786'","'1000011238919139'","crs-bzm-ha-my-151201",,,,,,,,,,"4.5 Men/6 Women",,"White",,,"CRS-BZM-HA-MY-151201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1702630767588.jpg",2,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011238918905",,,,0,0
"'1000000495398786'","'1000011238919140'","crs-bzm-ha-my-151201",,,,,,,,,,"5 Men/7 Women",,"White",,,"CRS-BZM-HA-MY-151201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,"https://img.btdmp.com/10446/10446658/products/origin/1702630767577.jpg",3,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011238918906",,,,0,0
"'1000000495398786'","'1000011238919141'","crs-bzm-ha-my-151201",,,,,,,,,,"6 Men/8 Women",,"White",,,"CRS-BZM-HA-MY-151201",0,,,"continue","manual",39.99,44.99,"true","TRUE",,,,,,,,,,,,,,,,,,,,,,"lb",,0,,,,,"track-id-1000011238918907",,,,0,0
